Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,7392.729980,7422.200195,6882.859863,6904.589844,6904.589844,4594360000
2020-03-17,7072.000000,7406.229980,6828.910156,7334.779785,7334.779785,4900000000
2020-03-18,6902.319824,7182.830078,6686.359863,6989.839844,6989.839844,4890820000
2020-03-19,6996.450195,7341.379883,6858.379883,7150.580078,7150.580078,4762170000
2020-03-20,7248.069824,7354.439941,6854.669922,6879.520020,6879.520020,5239940000
2020-03-23,6847.279785,6984.939941,6631.419922,6860.669922,6860.669922,4330610000
2020-03-24,7196.149902,7418.370117,7169.859863,7417.859863,7417.859863,4417380000
2020-03-25,7421.359863,7671.209961,7276.399902,7384.299805,7384.299805,4666440000
2020-03-26,7462.209961,7809.830078,7462.209961,7797.540039,7797.540039,3999850000
2020-03-27,7554.250000,7716.240234,7491.140137,7502.379883,7502.379883,3977010000
